origin_city,origin_state,destination_city,destination_state,lane_set,why_this_lane
Los Angeles,CA,Long Beach,CA,tier1_core,high demand metro to metro lane
Los Angeles,CA,San Francisco,CA,tier1_core,high demand metro to metro lane
Los Angeles,CA,Oakland,CA,tier1_core,high demand metro to metro lane
Los Angeles,CA,San Diego,CA,tier1_core,high demand metro to metro lane
Los Angeles,CA,Phoenix,AZ,tier1_core,high demand metro to metro lane
Los Angeles,CA,Las Vegas,NV,tier1_core,high demand metro to metro lane
Los Angeles,CA,Seattle,WA,tier1_core,high demand metro to metro lane
Los Angeles,CA,Tacoma,WA,tier1_core,high demand metro to metro lane
Los Angeles,CA,Portland,OR,tier1_core,high demand metro to metro lane
Los Angeles,CA,Salt Lake City,UT,tier1_core,high demand metro to metro lane
Los Angeles,CA,Denver,CO,tier1_core,high demand metro to metro lane
Los Angeles,CA,Dallas,TX,tier1_core,high demand metro to metro lane
Los Angeles,CA,Fort Worth,TX,tier1_core,high demand metro to metro lane
Los Angeles,CA,Houston,TX,tier1_core,high demand metro to metro lane
Los Angeles,CA,San Antonio,TX,tier1_core,high demand metro to metro lane
Los Angeles,CA,Austin,TX,tier1_core,high demand metro to metro lane
Los Angeles,CA,Kansas City,MO,tier1_core,high demand metro to metro lane
Los Angeles,CA,St Louis,MO,tier1_core,high demand metro to metro lane
Los Angeles,CA,Chicago,IL,tier1_core,high demand metro to metro lane
Los Angeles,CA,Indianapolis,IN,tier1_core,high demand metro to metro lane
Los Angeles,CA,Columbus,OH,tier1_core,high demand metro to metro lane
Los Angeles,CA,Cincinnati,OH,tier1_core,high demand metro to metro lane
Los Angeles,CA,Cleveland,OH,tier1_core,high demand metro to metro lane
Los Angeles,CA,Detroit,MI,tier1_core,high demand metro to metro lane
Los Angeles,CA,Minneapolis,MN,tier1_core,high demand metro to metro lane
Los Angeles,CA,Milwaukee,WI,tier1_core,high demand metro to metro lane
Los Angeles,CA,Nashville,TN,tier1_core,high demand metro to metro lane
Los Angeles,CA,Memphis,TN,tier1_core,high demand metro to metro lane
Los Angeles,CA,Atlanta,GA,tier1_core,high demand metro to metro lane
Los Angeles,CA,Charlotte,NC,tier1_core,high demand metro to metro lane
Los Angeles,CA,Raleigh,NC,tier1_core,high demand metro to metro lane
Los Angeles,CA,Jacksonville,FL,tier1_core,high demand metro to metro lane
Los Angeles,CA,Orlando,FL,tier1_core,high demand metro to metro lane
Los Angeles,CA,Tampa,FL,tier1_core,high demand metro to metro lane
Los Angeles,CA,Miami,FL,tier1_core,high demand metro to metro lane
Los Angeles,CA,New York,NY,tier1_core,high demand metro to metro lane
Los Angeles,CA,Newark,NJ,tier1_core,high demand metro to metro lane
Los Angeles,CA,Philadelphia,PA,tier1_core,high demand metro to metro lane
Los Angeles,CA,Baltimore,MD,tier1_core,high demand metro to metro lane
Long Beach,CA,Los Angeles,CA,tier1_core,high demand metro to metro lane
Long Beach,CA,San Francisco,CA,tier1_core,high demand metro to metro lane
Long Beach,CA,Oakland,CA,tier1_core,high demand metro to metro lane
Long Beach,CA,San Diego,CA,tier1_core,high demand metro to metro lane
